,Players,Values,links
0,Neymar,£199.80m,https://www.transfermarkt.com/neymar/profil/spieler/68290
1,Ousmane Dembélé,£124.20m,https://www.transfermarkt.com/ousmane-dembele/profil/spieler/288230
2,Kylian Mbappé,£121.50m,https://www.transfermarkt.com/kylian-mbappe/profil/spieler/342229
3,João Félix,£113.40m,https://www.transfermarkt.com/joao-felix/profil/spieler/462250
4,Antoine Griezmann,£108.00m,https://www.transfermarkt.com/antoine-griezmann/profil/spieler/125781
5,Cristiano Ronaldo,£105.30m,https://www.transfermarkt.com/cristiano-ronaldo/profil/spieler/8198
6,Eden Hazard,£103.50m,https://www.transfermarkt.com/eden-hazard/profil/spieler/50202
7,Gareth Bale,£90.90m,https://www.transfermarkt.com/gareth-bale/profil/spieler/39381
8,Cristiano Ronaldo,£84.60m,https://www.transfermarkt.com/cristiano-ronaldo/profil/spieler/8198
9,Gonzalo Higuaín,£81.00m,https://www.transfermarkt.com/gonzalo-higuain/profil/spieler/39153
10,Neymar,£79.38m,https://www.transfermarkt.com/neymar/profil/spieler/68290
11,Romelu Lukaku,£76.23m,https://www.transfermarkt.com/romelu-lukaku/profil/spieler/96341
12,Luis Suárez,£73.55m,https://www.transfermarkt.com/luis-suarez/profil/spieler/44352
13,Nicolas Pépé,£72.00m,https://www.transfermarkt.com/nicolas-pepe/profil/spieler/343052
14,Ángel Di María,£67.50m,https://www.transfermarkt.com/angel-di-maria/profil/spieler/45320
15,Romelu Lukaku,£66.60m,https://www.transfermarkt.com/romelu-lukaku/profil/spieler/96341
16,Thomas Lemar,£63.00m,https://www.transfermarkt.com/thomas-lemar/profil/spieler/205562
17,Zlatan Ibrahimovic,£62.55m,https://www.transfermarkt.com/zlatan-ibrahimovic/profil/spieler/3455
18,Riyad Mahrez,£61.02m,https://www.transfermarkt.com/riyad-mahrez/profil/spieler/171424
19,Diego Costa,£59.40m,https://www.transfermarkt.com/diego-costa/profil/spieler/44779
20,Álvaro Morata,£59.40m,https://www.transfermarkt.com/alvaro-morata/profil/spieler/128223
21,Edinson Cavani,£58.05m,https://www.transfermarkt.com/edinson-cavani/profil/spieler/48280
22,Christian Pulisic,£57.60m,https://www.transfermarkt.com/christian-pulisic/profil/spieler/315779
23,Pierre-Emerick Aubameyang,£57.38m,https://www.transfermarkt.com/pierre-emerick-aubameyang/profil/spieler/58864
