Players,values,links
Patrick Cutrone,£19.80m,https://www.transfermarkt.com/patrick-cutrone/profil/spieler/265078
Gelson Martins,£19.80m,https://www.transfermarkt.com/gelson-martins/profil/spieler/257448
Moussa Dembélé,£19.80m,https://www.transfermarkt.com/moussa-dembele/profil/spieler/229004
Guido Carrillo,£19.80m,https://www.transfermarkt.com/guido-carrillo/profil/spieler/184672
Vincent Janssen,£19.80m,https://www.transfermarkt.com/vincent-janssen/profil/spieler/207015
David Neres,£19.80m,https://www.transfermarkt.com/david-neres/profil/spieler/469822
Raúl Jiménez,£19.80m,https://www.transfermarkt.com/raul-jimenez/profil/spieler/206040
Mario Mandzukic,£19.80m,https://www.transfermarkt.com/mario-mandzukic/profil/spieler/34572
André Schürrle,£19.80m,https://www.transfermarkt.com/andre-schurrle/profil/spieler/58205
Sergio Agüero,£19.53m,https://www.transfermarkt.com/sergio-aguero/profil/spieler/26399
Mariano Díaz,£19.35m,https://www.transfermarkt.com/mariano-diaz/profil/spieler/225020
Darren Bent,£19.35m,https://www.transfermarkt.com/darren-bent/profil/spieler/13239
Jarrod Bowen,£19.17m,https://www.transfermarkt.com/jarrod-bowen/profil/spieler/314875
